PK_Tasa,PK_Fecha,PK_Localidad,FK_Mortalidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Tasa_Mortalidad_Total,Tasa_Mortalidad_Hombres,Tasa_Mortalidad_Mujeres,Tasa_Total_100k,Tasa_Hombres_100k,Tasa_Mujeres_100k
290,202301,2,290,391507.0,184598.0,206909.0,2,2,0,5.1084654935927075e-06,1.0834353568294347e-05,0.0,0.5108465493592708,1.0834353568294348,0.0
291,202301,3,291,1075140.0,516520.0,558620.0,26,15,11,2.4182897111073907e-05,2.9040501819871447e-05,1.9691382335039918e-05,2.418289711107391,2.9040501819871447,1.9691382335039918
292,202301,4,292,252497.0,123355.0,129142.0,10,7,3,3.960443094373399e-05,5.674678772648048e-05,2.323024267860185e-05,3.9604430943733986,5.674678772648048,2.323024267860185
293,202301,5,293,401706.0,193934.0,207772.0,11,6,5,2.7383210606762158e-05,3.093836047315066e-05,2.406484030571973e-05,2.7383210606762156,3.0938360473150657,2.406484030571973
294,202301,6,294,1244051.0,591517.0,652534.0,21,12,9,1.688033689937149e-05,2.0286821849583358e-05,1.3792384764625291e-05,1.6880336899371489,2.0286821849583356,1.3792384764625292
295,202301,7,295,574156.0,265130.0,309026.0,5,4,1,8.708434641456329e-06,1.5086938483008336e-05,3.2359736721182037e-06,0.8708434641456329,1.5086938483008336,0.32359736721182036
296,202301,8,296,396861.0,193917.0,202944.0,12,7,5,3.0237287110600436e-05,3.609791818149002e-05,2.4637338379060233e-05,3.0237287110600435,3.609791818149002,2.463733837906023
297,202302,1,297,667368.0,327765.0,339603.0,12,7,5,1.7981083899737475e-05,2.1356764755236223e-05,1.4723073706651591e-05,1.7981083899737476,2.1356764755236224,1.472307370665159
298,202302,2,298,391507.0,184598.0,206909.0,12,8,4,3.065079296155624e-05,4.333741427317739e-05,1.9332170181094105e-05,3.065079296155624,4.333741427317739,1.9332170181094104
299,202302,3,299,1075140.0,516520.0,558620.0,27,17,10,2.5113008538422903e-05,3.291256872918764e-05,1.790125666821811e-05,2.5113008538422905,3.2912568729187637,1.7901256668218108
