"Estacion","Fecha inicial","Fecha final","CO"
"""USME""","2025-07-15 22:00","2025-07-15 22:59","251.878"
"""USME""","2025-07-15 21:00","2025-07-15 21:59","503.756"
"""USME""","2025-07-15 20:00","2025-07-15 20:59","824.328"
"""USME""","2025-07-15 19:00","2025-07-15 19:59","767.083"
"""USME""","2025-07-15 18:00","2025-07-15 18:59","538.103"
"""USME""","2025-07-15 17:00","2025-07-15 17:59","228.98"
"""USME""","2025-07-15 16:00","2025-07-15 16:59","194.633"
"""USME""","2025-07-15 15:00","2025-07-15 15:59","206.082"
"""USME""","2025-07-15 14:00","2025-07-15 14:59","194.633"
"""USME""","2025-07-15 13:00","2025-07-15 13:59","183.184"
"""USME""","2025-07-15 12:00","2025-07-15 12:59","183.184"
"""USME""","2025-07-15 11:00","2025-07-15 11:59","297.674"
"""USME""","2025-07-15 10:00","2025-07-15 10:59","354.919"
"""USME""","2025-07-15 09:00","2025-07-15 09:59","377.817"
"""USME""","2025-07-15 08:00","2025-07-15 08:59","389.266"
"""USME""","2025-07-15 07:00","2025-07-15 07:59","583.899"
"""USME""","2025-07-15 06:00","2025-07-15 06:59","675.491"
"""USME""","2025-07-15 05:00","2025-07-15 05:59","538.103"
"""USME""","2025-07-15 04:00","2025-07-15 04:59","148.837"
"""USME""","2025-07-15 03:00","2025-07-15 03:59","103.041"
"""USME""","2025-07-15 02:00","2025-07-15 02:59","91.592"
"""USME""","2025-07-15 01:00","2025-07-15 01:59","103.041"
"""USME""","2025-07-15 00:00","2025-07-15 00:59","103.041"
"""USME""","2025-07-14 23:00","2025-07-14 23:59","183.184"
"""USME""","2025-07-14 22:00","2025-07-14 22:59","297.674"
"""USME""","2025-07-14 21:00","2025-07-14 21:59","641.144"
"""USME""","2025-07-14 20:00","2025-07-14 20:59","996.063"
"""USME""","2025-07-14 19:00","2025-07-14 19:59","1202.145"
"""USME""","2025-07-14 18:00","2025-07-14 18:59","1328.084"
"""USME""","2025-07-14 17:00","2025-07-14 17:59","435.062"
"""USME""","2025-07-14 16:00","2025-07-14 16:59","503.756"
"""USME""","2025-07-14 15:00","2025-07-14 15:59","320.572"
"""USME""","2025-07-14 14:00","2025-07-14 14:59","263.327"
"""USME""","2025-07-14 13:00","2025-07-14 13:59","263.327"
"""USME""","2025-07-14 12:00","2025-07-14 12:59","251.878"
"""USME""","2025-07-14 11:00","2025-07-14 11:59","206.082"
